Gender,Year,Age,Country,imputed_flag,mx,logmx
Female,1951,87,CHE,FALSE,0.245597,-1.404063298
Female,1951,88,CHE,FALSE,0.237616,-1.437099354
Female,1951,89,CHE,FALSE,0.231911,-1.461401602
Female,1951,90,CHE,FALSE,0.299926,-1.204219501
Female,1951,91,CHE,FALSE,0.305664,-1.18526882
Female,1951,92,CHE,FALSE,0.350107,-1.049516457
Female,1951,93,CHE,FALSE,0.32983,-1.109177909
Female,1951,94,CHE,FALSE,0.344,-1.067113622
Female,1951,95,CHE,FALSE,0.708241,-0.344970848
Female,1951,96,CHE,FALSE,0.364865,-1.008227857
Female,1951,97,CHE,FALSE,0.363636,-1.011601912
Female,1951,98,CHE,FALSE,0.372093,-0.988611456
Female,1951,99,CHE,FALSE,0.84,-0.174353387
Female,1952,0,CHE,FALSE,0.02585,-3.655444678
Female,1952,1,CHE,FALSE,0.002538,-5.97637891
Female,1952,2,CHE,FALSE,0.001441,-6.542417962
Female,1952,3,CHE,FALSE,0.000951,-6.957996495
Female,1952,4,CHE,FALSE,0.000963,-6.945457146
Female,1952,5,CHE,FALSE,0.000796,-7.135911372
Female,1952,6,CHE,FALSE,0.000525,-7.552112295
Female,1952,7,CHE,FALSE,0.000514,-7.573287293
Female,1952,8,CHE,FALSE,0.000374,-7.891254761
Female,1952,9,CHE,FALSE,0.000361,-7.9266326
Female,1952,10,CHE,FALSE,0.000333,-8.007368068
Female,1952,11,CHE,FALSE,0.000375,-7.888584532
Female,1952,12,CHE,FALSE,0.00059,-7.435388021
Female,1952,13,CHE,FALSE,0.000199,-8.522205733
Female,1952,14,CHE,FALSE,0.000535,-7.533243811
Female,1952,15,CHE,FALSE,0.000399,-7.826549141
Female,1952,16,CHE,FALSE,0.000605,-7.4102821
Female,1952,17,CHE,FALSE,0.000241,-8.330713624
Female,1952,18,CHE,FALSE,0.000672,-7.305252217
Female,1952,19,CHE,FALSE,0.000728,-7.22520951
Female,1952,20,CHE,FALSE,0.000643,-7.349365834
Female,1952,21,CHE,FALSE,0.000838,-7.084492457
Female,1952,22,CHE,FALSE,0.00088,-7.03558865
Female,1952,23,CHE,FALSE,0.000557,-7.492945318
Female,1952,24,CHE,FALSE,0.000967,-6.941312063
Female,1952,25,CHE,FALSE,0.000774,-7.163938684
Female,1952,26,CHE,FALSE,0.000697,-7.268725147
Female,1952,27,CHE,FALSE,0.000811,-7.117242504
Female,1952,28,CHE,FALSE,0.000975,-6.933073087
Female,1952,29,CHE,FALSE,0.001021,-6.88697274
Female,1952,30,CHE,FALSE,0.001232,-6.699116414
Female,1952,31,CHE,FALSE,0.001517,-6.491020579
Female,1952,32,CHE,FALSE,0.0014,-6.571283042
Female,1952,33,CHE,FALSE,0.001615,-6.428420322
Female,1952,34,CHE,FALSE,0.000921,-6.990050522
Female,1952,35,CHE,FALSE,0.001495,-6.505629072
Female,1952,36,CHE,FALSE,0.001535,-6.479224898
Female,1952,37,CHE,FALSE,0.001514,-6.493000124
Female,1952,38,CHE,FALSE,0.001573,-6.454770655
Female,1952,39,CHE,FALSE,0.002106,-6.162964865
Female,1952,40,CHE,FALSE,0.00182,-6.308918778
Female,1952,41,CHE,FALSE,0.0021,-6.165817934
Female,1952,42,CHE,FALSE,0.002623,-5.943436578
Female,1952,43,CHE,FALSE,0.002533,-5.978350908
Female,1952,44,CHE,FALSE,0.002293,-6.077894275
Female,1952,45,CHE,FALSE,0.003449,-5.669670945
Female,1952,46,CHE,FALSE,0.003381,-5.689583755
Female,1952,47,CHE,FALSE,0.003859,-5.557347196
Female,1952,48,CHE,FALSE,0.003964,-5.530501663
Female,1952,49,CHE,FALSE,0.004845,-5.329808034
Female,1952,50,CHE,FALSE,0.004983,-5.30172316
Female,1952,51,CHE,FALSE,0.005803,-5.149380254
Female,1952,52,CHE,FALSE,0.005593,-5.186239463
Female,1952,53,CHE,FALSE,0.006949,-4.969157515
Female,1952,54,CHE,FALSE,0.006984,-4.96413346
Female,1952,55,CHE,FALSE,0.008469,-4.771342841
Female,1952,56,CHE,FALSE,0.009699,-4.635732492
Female,1952,57,CHE,FALSE,0.009213,-4.687139749
Female,1952,58,CHE,FALSE,0.010336,-4.572122332
Female,1952,59,CHE,FALSE,0.011259,-4.48658747
Female,1952,60,CHE,FALSE,0.01261,-4.373265129
Female,1952,61,CHE,FALSE,0.01227,-4.40059802
Female,1952,62,CHE,FALSE,0.014392,-4.241082782
Female,1952,63,CHE,FALSE,0.017787,-4.029287426
Female,1952,64,CHE,FALSE,0.02056,-3.884407838
Female,1952,65,CHE,FALSE,0.020352,-3.894576092
Female,1952,66,CHE,FALSE,0.02237,-3.800034503
Female,1952,67,CHE,FALSE,0.023951,-3.731745202
Female,1952,68,CHE,FALSE,0.029887,-3.510331676
Female,1952,69,CHE,FALSE,0.031155,-3.468780533
Female,1952,70,CHE,FALSE,0.036371,-3.313983525
Female,1952,71,CHE,FALSE,0.040843,-3.198019831
Female,1952,72,CHE,FALSE,0.043473,-3.135615223
Female,1952,73,CHE,FALSE,0.051747,-2.96138882
Female,1952,74,CHE,FALSE,0.055566,-2.890183776
Female,1952,75,CHE,FALSE,0.062536,-2.772012888
Female,1952,76,CHE,FALSE,0.068578,-2.679783495
Female,1952,77,CHE,FALSE,0.08156,-2.506416333
Female,1952,78,CHE,FALSE,0.085533,-2.458853013
Female,1952,79,CHE,FALSE,0.087464,-2.436527999
Female,1952,80,CHE,FALSE,0.110528,-2.202486396
Female,1952,81,CHE,FALSE,0.114598,-2.166324927
Female,1952,82,CHE,FALSE,0.138661,-1.975723174
Female,1952,83,CHE,FALSE,0.150887,-1.891224067
Female,1952,84,CHE,FALSE,0.165328,-1.7998239
Female,1952,85,CHE,FALSE,0.177812,-1.727028467
Female,1952,86,CHE,FALSE,0.186982,-1.676742923
Female,1952,87,CHE,FALSE,0.196319,-1.628014392
Female,1952,88,CHE,FALSE,0.227289,-1.481532943
Female,1952,89,CHE,FALSE,0.249788,-1.387142721
Female,1952,90,CHE,FALSE,0.237818,-1.436249604
Female,1952,91,CHE,FALSE,0.285063,-1.255045071
Female,1952,92,CHE,FALSE,0.341939,-1.07312292
Female,1952,93,CHE,FALSE,0.270435,-1.307723505
Female,1952,94,CHE,FALSE,0.317181,-1.14828269
Female,1952,95,CHE,FALSE,0.308642,-1.17557325
Female,1952,96,CHE,FALSE,0.484211,-0.725234517
Female,1952,97,CHE,FALSE,0.52459,-0.645138274
Female,1952,98,CHE,FALSE,0.347826,-1.056052924
Female,1952,99,CHE,FALSE,0.423529,-0.85913329
Female,1953,0,CHE,FALSE,0.025878,-3.654362092
Female,1953,1,CHE,FALSE,0.002046,-6.191868611
Female,1953,2,CHE,FALSE,0.001601,-6.437126845
Female,1953,3,CHE,FALSE,0.001063,-6.84666018
Female,1953,4,CHE,FALSE,0.000631,-7.368204695
Female,1953,5,CHE,FALSE,0.000893,-7.020923977
Female,1953,6,CHE,FALSE,0.000554,-7.498345871
Female,1953,7,CHE,FALSE,0.000571,-7.468121348
Female,1953,8,CHE,FALSE,0.000391,-7.846802998
Female,1953,9,CHE,FALSE,0.000423,-7.768138379
Female,1953,10,CHE,FALSE,0.000388,-7.854505218
